mode,model,train,test,macro_f1,pr_auc,attack_recall,fpr,random_baseline,below_random
indist,SingleFeature(stump),UNSW,UNSW,0.9981189007561431,0.9932785955363216,0.9985092597901496,0.0005149020316719526,0.053983,0
indist,SingleFeature(stump),ToN-IoT,ToN-IoT,0.6779127956352176,0.7071998302273207,0.5021231615972007,0.09581422145405394,0.389824,0
indist,SingleFeature(stump),CSE-CIC,CSE-CIC,0.48226918982584027,0.0763064511531379,0.01823609578817574,0.04013196743069814,0.129298,1
indist,LogReg,UNSW,UNSW,0.9986660013387578,0.998340838179718,0.998222578980563,0.0002957947841519728,0.053983,0
indist,LogReg,ToN-IoT,ToN-IoT,0.633535400623956,0.6510595841764955,0.44308468954456814,0.11508121163774956,0.389824,0
indist,LogReg,CSE-CIC,CSE-CIC,0.5617909252258411,0.26969933184111294,0.09306249594392887,0.004485592472005678,0.129298,0
indist,MLP,UNSW,UNSW,0.9995604398628183,0.9996272621126817,0.9995413107046615,0.00010955362375998992,0.053983,0
indist,MLP,ToN-IoT,ToN-IoT,0.9027273962123812,0.8879402553150256,0.8797087714822037,0.06844822619601587,0.389824,0
indist,MLP,CSE-CIC,CSE-CIC,0.5764115464539885,0.17686941155400557,0.1045492893763385,0.00017877361301471903,0.129298,0
indist,LightGBM,UNSW,UNSW,0.9999842961320331,0.9999999737125739,0.9999426638380827,0.0,0.053983,0
indist,LightGBM,ToN-IoT,ToN-IoT,0.9207408736273821,0.9255895458221597,0.9102895883071204,0.0654900396640741,0.389824,0
indist,LightGBM,CSE-CIC,CSE-CIC,0.582548325659253,0.2418095307922948,0.11227204880264781,0.00039546890151740874,0.129298,0
lodo,SingleFeature(stump),UNSW,ToN-IoT,0.8289026546157157,0.7265491814856538,0.7090866647512724,0.07088610499265785,0.389824,0
lodo,SingleFeature(stump),UNSW,CSE-CIC,0.43308648834497626,0.1563625414090722,0.7483719779114912,0.5605132410399885,0.129298,0
lodo,SingleFeature(stump),ToN-IoT,UNSW,0.05034629315060638,0.043731686185817305,0.7132245336494822,0.986800448617731,0.053983,1
lodo,SingleFeature(stump),ToN-IoT,CSE-CIC,0.2086086416440573,0.11926286368991824,0.7766554780429705,0.8756899605146192,0.129298,1
lodo,SingleFeature(stump),CSE-CIC,UNSW,0.4377589287402736,0.05203337316996627,0.04703332530611489,0.21149619932834188,0.053983,1
lodo,SingleFeature(stump),CSE-CIC,ToN-IoT,0.8325809244517768,0.7464498726467683,0.6764155105893942,0.03908708307111391,0.389824,0
lodo,LogReg,UNSW,ToN-IoT,0.758234795791974,0.6931036060561961,0.6518762313249056,0.14551211453744495,0.389824,0
lodo,LogReg,UNSW,CSE-CIC,0.4232641528941946,0.2148377685630872,0.7088508716298783,0.5643216622908871,0.129298,0
lodo,LogReg,ToN-IoT,UNSW,0.31774453751717807,0.10610110153719358,0.8273715799418335,0.6535389955994448,0.053983,0
lodo,LogReg,ToN-IoT,CSE-CIC,0.3402092190271144,0.20734941791750022,0.568376927717366,0.654514403320539,0.129298,0
lodo,LogReg,CSE-CIC,UNSW,0.4453068813624044,0.04140010454634934,0.1593094122223663,0.251406687194839,0.053983,1
lodo,LogReg,CSE-CIC,ToN-IoT,0.45112611686989035,0.4759546121675982,0.15307677310786405,0.18728203010279001,0.389824,0
lodo,MLP,UNSW,ToN-IoT,0.5960160370963596,0.6723609607931157,0.26920866852733544,0.043475980700650306,0.389824,0
lodo,MLP,UNSW,CSE-CIC,0.4052409748359344,0.09313311777630001,0.029505483456820678,0.2546117959990904,0.129298,1
lodo,MLP,ToN-IoT,UNSW,0.27233286737583956,0.03277097252185261,0.3428116258822222,0.6617946611953062,0.053983,1
lodo,MLP,ToN-IoT,CSE-CIC,0.4584753161091809,0.10512705112656232,0.3293090380361645,0.3545472503795788,0.129298,1
lodo,MLP,CSE-CIC,UNSW,0.4926038545024459,0.04616973043811681,0.037289517070188766,0.05162909334610266,0.053983,1
lodo,MLP,CSE-CIC,ToN-IoT,0.5000816613969425,0.5549515682693322,0.2797416269906419,0.26463020505559054,0.389824,0
lodo,LightGBM,UNSW,ToN-IoT,0.6250966200817794,0.6137200995327539,0.2981935437530783,0.025422173274596182,0.389824,0
lodo,LightGBM,UNSW,CSE-CIC,0.693169714307966,0.3635755316762582,0.5675803183343904,0.11830454047423802,0.129298,0
lodo,LightGBM,ToN-IoT,UNSW,0.47173127121697145,0.0340783800137987,0.002889798640312691,0.061462954682632555,0.053983,1
lodo,LightGBM,ToN-IoT,CSE-CIC,0.44369179205688863,0.09380217601694733,0.010804498136088725,0.10805533925499194,0.129298,1
lodo,LightGBM,CSE-CIC,UNSW,0.4153474189341253,0.0333770410077957,0.05223866772872941,0.27795377884329775,0.053983,1
lodo,LightGBM,CSE-CIC,ToN-IoT,0.46149221034049076,0.4582583054950473,0.12693677146609753,0.1095061097126075,0.389824,0
