timestamp,experiment,task,split,model,pr_auc,base_rate,pr_auc_lift,recall_at_1pct,n_test,note
2026-07-01T00:13:21.255598+00:00,tx_baseline,transaction,temporal,LightGBM,0.8128,0.065,0.7478,0.1542,16670,labeled∩temporal; Time step 不进特征; MVP tabular 对照
2026-07-01T00:48:39.558463+00:00,nongnn_undirected-node2vec-LGBM,transaction,temporal,undirected-node2vec-LGBM,0.0943,0.065,0.0293,0.0342,16670,交易图按时间步断开；无跨期结构泄漏仍近随机；裸拓扑无判别力
2026-07-01T00:48:39.566171+00:00,nongnn_IsolationForest,transaction,temporal,IsolationForest,0.0353,0.065,-0.0296,0.0,16670,无监督；lift 为负=不如乱猜，反证 label provenance 主线
2026-07-01T12:40:34.536884+00:00,actor_maxproj_settingC_unknown_as_benign,actor,temporal,tx-LightGBM→max-proj,0.3086,0.0163,0.2923,0.2294,302573,ERROR-DEMO: unknown 当 benign（selective-labeling 陷阱）；此 pr_auc 是 coverage artifact 非模型质量；对照 Setting A
2026-07-01T14:59:43.040508+00:00,actor_projection_max,actor,temporal,tx-LightGBM→max-proj,0.7362,0.052,0.6842,0.1918,94950,Setting A; max aggregation; retrospective; actor label=tx label OR/max-propagation (guilt-by-assoc); 任务内可比、勿跨 tx 任务比
2026-07-01T14:59:43.053884+00:00,actor_projection_top3_mean,actor,temporal,tx-LightGBM→top3_mean-proj,0.7184,0.052,0.6664,0.1875,94950,Setting A; top3_mean aggregation; retrospective; actor label=tx label OR/max-propagation (guilt-by-assoc); 任务内可比、勿跨 tx 任务比
2026-07-01T14:59:43.066768+00:00,actor_projection_mean,actor,temporal,tx-LightGBM→mean-proj,0.7202,0.052,0.6682,0.1881,94950,Setting A; mean aggregation; retrospective; actor label=tx label OR/max-propagation (guilt-by-assoc); 任务内可比、勿跨 tx 任务比
2026-07-01T14:59:43.079955+00:00,actor_projection_sum,actor,temporal,tx-LightGBM→sum-proj,0.7243,0.052,0.6723,0.1885,94950,Setting A; sum aggregation; retrospective; actor label=tx label OR/max-propagation (guilt-by-assoc); 任务内可比、勿跨 tx 任务比
2026-07-01T21:03:52.708099+00:00,native_actor_tabular,actor,temporal-inductive,wallet-features-LightGBM,0.2968,0.0529,0.2439,0.0902,92451,"native actor (address features, NOT tx projection); inductive no-leak split; label still global/retrospective (clean split != clean label); 勿跨任务比"
2026-07-01T21:52:04.419982+00:00,tx_mlp,transaction,temporal,MLP-no-graph,0.6241,0.065,0.5591,0.1283,16670,"GNN Reference; tx graph disconnected across time (Δt=0), message passing within-step only; label retrospective"
2026-07-01T21:52:04.421591+00:00,tx_graphsage,transaction,temporal,GraphSAGE-txgraph,0.6599,0.065,0.5949,0.1413,16670,"GNN Reference; tx graph disconnected across time (Δt=0), message passing within-step only; label retrospective"
2026-07-02T19:06:09.605434+00:00,addr_gbdt_unweighted,address,temporal_inductive,LightGBM-addr-unw,0.3153,0.0529,0.2625,0.1107,92451,"static address graph GNN Reference; strict inductive (train on first_step<=34 induced subgraph, infer on full graph); unknown in-graph out-of-loss; label retrospective"
2026-07-02T19:06:09.606610+00:00,addr_gbdt,address,temporal_inductive,LightGBM-addr,0.2459,0.0529,0.193,0.0798,92451,"static address graph GNN Reference; strict inductive (train on first_step<=34 induced subgraph, infer on full graph); unknown in-graph out-of-loss; label retrospective"
2026-07-02T19:06:09.607359+00:00,addr_mlp,address,temporal_inductive,MLP-addr-nograph,0.3461,0.0529,0.2932,0.1354,92451,"static address graph GNN Reference; strict inductive (train on first_step<=34 induced subgraph, infer on full graph); unknown in-graph out-of-loss; label retrospective"
2026-07-02T19:06:09.608444+00:00,addr_graphsage,address,temporal_inductive,GraphSAGE-addrgraph,0.3608,0.0529,0.3079,0.1452,92451,"static address graph GNN Reference; strict inductive (train on first_step<=34 induced subgraph, infer on full graph); unknown in-graph out-of-loss; label retrospective"
2026-07-02T21:27:13.347738+00:00,addr_gbdt_tuned,address,temporal_inductive,LightGBM-addr-unw-tuned,0.3224,0.0529,0.2695,0.1141,92451,"unweighted GBDT 12-cell grid best (num_leaves=63, min_child_samples=100, n_estimators=300); robustness check: is NN>tree reversal an under-tuning artifact?"
2026-07-03T10:30:30.399582+00:00,tabpfn_gbdt_full,address,temporal_inductive,LightGBM-addr-full,0.3295,0.0529,0.2766,0.1087,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
2026-07-03T10:30:30.400533+00:00,tabpfn_mlp,address,temporal_inductive,MLP-addr-nograph,0.3664,0.0529,0.3135,0.1466,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
2026-07-03T10:30:30.401410+00:00,tabpfn_sage,address,temporal_inductive,GraphSAGE-addrgraph,0.3737,0.0529,0.3208,0.1348,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
2026-07-03T10:30:30.402183+00:00,tabpfn_gbdt_ctx,address,temporal_inductive,LightGBM-addr-ctx2k,0.3826,0.0529,0.3298,0.1584,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
2026-07-03T10:30:30.402950+00:00,tabpfn_vanilla,address,temporal_inductive,TabPFN-v2-addr,0.3084,0.0529,0.2555,0.1111,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
2026-07-03T10:30:30.403538+00:00,tabpfn_g2tfm,address,temporal_inductive,TabPFN-v2-G2TFM-addr,0.302,0.0529,0.2491,0.1608,8000,nb10 six-layer TabPFN comparison; metric on shared stratified test subsample; TabPFN=open v2 n_est=1 2k context; G2T-FM struct cols use train-only labels; strict inductive; label retrospective (provenance ceiling unchanged)
